City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
79,Port Elizabeth,ZA,-33.918,25.5701,69.48,82,54,9.89,broken clouds
80,Yellowknife,CA,62.456,-114.3525,-10.59,68,86,4.0,overcast clouds
81,Nurota,UZ,40.5614,65.6886,30.29,62,71,8.59,broken clouds
82,Tuktoyaktuk,CA,69.4541,-133.0374,-30.64,99,73,4.36,broken clouds
83,Alikalia,SL,9.1667,-11.4,73.72,28,12,1.28,few clouds
84,Kananga,CD,-5.8958,22.4178,68.23,95,100,3.71,overcast clouds
85,Tisovec,SK,48.6774,19.9436,33.67,85,93,1.19,overcast clouds
86,East London,ZA,-33.0153,27.9116,72.91,83,83,10.13,broken clouds
87,Mataura,NZ,-46.1927,168.8643,59.49,62,26,2.35,scattered clouds
88,Flinders,AU,-34.5833,150.8552,69.19,81,100,5.99,overcast clouds
89,Hobyo,SO,5.3505,48.5268,77.9,72,89,16.24,overcast clouds
90,Meulaboh,ID,4.1363,96.1285,76.26,89,94,5.23,overcast clouds
91,Saint-Philippe,RE,-21.3585,55.7679,78.39,88,40,11.01,scattered clouds
92,Hambantota,LK,6.1241,81.1185,73.74,100,40,2.3,scattered clouds
93,Kupino,RU,54.3663,77.2981,6.96,94,100,12.12,overcast clouds
94,Port Blair,IN,11.6667,92.75,73.44,73,20,2.3,mist
95,Luxor,EG,25.6989,32.6421,59.25,25,0,5.77,clear sky
96,Tuatapere,NZ,-46.1333,167.6833,59.83,56,33,2.13,scattered clouds
97,Monte Alegre,BR,-2.0078,-54.0692,79.47,76,80,5.55,broken clouds
98,Kruisfontein,ZA,-34.0033,24.7314,65.32,84,23,6.78,few clouds
99,Nikolskoye,RU,59.7035,30.7861,33.71,89,100,12.71,overcast clouds
100,Rio Do Sul,BR,-27.2142,-49.6431,71.64,88,85,3.02,overcast clouds
101,Clearwater,US,27.9659,-82.8001,69.76,75,40,21.99,scattered clouds
102,Leningradskiy,RU,69.3833,178.4167,-17.23,92,94,6.17,overcast clouds
103,Dikson,RU,73.5069,80.5464,-4.67,87,100,24.74,overcast clouds
104,Havre-Saint-Pierre,CA,50.2334,-63.5986,2.05,73,9,9.28,clear sky
105,Lompoc,US,34.6391,-120.4579,84.34,36,0,12.66,clear sky
106,Airai,TL,-8.9266,125.4092,58.37,90,37,2.3,scattered clouds
107,Los Llanos De Aridane,ES,28.6585,-17.9182,60.55,72,0,8.99,clear sky
108,Rio Cuarto,AR,-33.1307,-64.3499,76.77,33,0,14.97,clear sky
109,Santiago Del Estero,AR,-27.7951,-64.2615,83.68,24,0,6.71,clear sky
110,Hilo,US,19.7297,-155.09,78.53,70,40,8.05,scattered clouds
111,Hermanus,ZA,-34.4187,19.2345,65.8,83,58,18.05,broken clouds
112,Vestmannaeyjar,IS,63.4427,-20.2734,33.8,74,99,29.39,overcast clouds
113,Muravlenko,RU,63.7898,74.523,-16.35,100,98,8.68,overcast clouds
114,Kingman,US,35.1894,-114.053,73.65,6,0,8.05,clear sky
115,Dordrecht,NL,51.81,4.6736,53.53,71,100,7.0,overcast clouds
116,Nizwa,OM,22.9333,57.5333,61.63,65,0,3.27,clear sky
117,Tukums,LV,56.9669,23.1553,34.95,76,99,13.13,overcast clouds
118,Boyolangu,ID,-8.1181,111.8935,74.35,93,100,2.89,overcast clouds
119,Pyay,MM,18.8167,95.2167,61.77,39,76,6.35,broken clouds
120,Flin Flon,CA,54.7682,-101.865,9.41,85,100,9.08,overcast clouds
121,Luderitz,NA,-26.6481,15.1594,72.81,65,0,10.83,clear sky
122,Antofagasta,CL,-23.65,-70.4,73.22,62,85,9.28,overcast clouds
123,Atuona,PF,-9.8,-139.0333,77.97,78,22,12.91,light rain
124,Soria,ES,41.6667,-2.6667,42.01,100,100,14.07,overcast clouds
125,La Ronge,CA,55.1001,-105.2842,13.14,85,100,8.21,overcast clouds
126,Launceston,AU,-41.45,147.1667,64.15,84,86,5.75,overcast clouds
127,Visim,RU,57.6488,59.5014,12.15,97,98,1.99,overcast clouds
128,Cabo San Lucas,MX,22.8909,-109.9124,83.61,49,40,13.8,scattered clouds
129,Carutapera,BR,-1.195,-46.02,76.59,92,100,6.04,light rain
130,San Cristobal,VE,7.7669,-72.225,78.98,43,95,1.3,overcast clouds
131,Chuy,UY,-33.6971,-53.4616,66.72,50,1,10.09,clear sky
132,Sur,OM,22.5667,59.5289,71.55,70,0,11.48,clear sky
133,Terney,RU,45.0503,136.6092,10.71,80,33,10.76,scattered clouds
134,Alexandria,EG,31.2156,29.9553,56.44,68,1,9.33,clear sky
135,Kupang,ID,-10.1667,123.5833,76.82,84,59,4.12,broken clouds
136,Rawson,AR,-43.3002,-65.1023,85.33,22,0,23.44,clear sky
137,Lodwar,KE,3.1191,35.5973,85.96,29,41,7.83,scattered clouds
138,Tocopilla,CL,-22.092,-70.1979,72.0,66,87,7.61,overcast clouds
139,Am Timan,TD,11.0297,20.2827,79.48,14,97,7.25,overcast clouds
140,Kawalu,ID,-7.3817,108.2082,72.07,95,100,1.63,overcast clouds
141,Kahului,US,20.8947,-156.47,80.62,67,20,17.27,few clouds
142,Talnakh,RU,69.4865,88.3972,-7.24,69,15,8.88,few clouds
143,Nabire,ID,-3.3667,135.4833,75.96,91,100,3.09,overcast clouds
144,Clyde River,CA,70.4692,-68.5914,-18.17,69,100,20.71,haze
145,Olinda,BR,-8.0089,-34.8553,81.59,73,2,12.08,clear sky
146,Nouadhibou,MR,20.931,-17.0347,65.17,76,100,22.32,overcast clouds
147,Barrow,US,71.2906,-156.7887,-27.38,68,40,9.22,scattered clouds
