City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
67,Souillac,MU,2022-02-13 04:45:10,-20.5167,57.5167,83.35,83,40,11.5
68,Qasigiannguit,GL,2022-02-13 04:45:10,68.8193,-51.1922,12.45,96,100,5.35
69,Port Elizabeth,ZA,2022-02-13 04:45:11,-33.918,25.5701,71.89,83,100,18.41
70,Ilulissat,GL,2022-02-13 04:45:11,69.2167,-51.1,12.22,79,100,4.61
71,Guerrero Negro,MX,2022-02-13 04:45:12,27.9769,-114.0611,66.6,44,100,5.64
72,Tabuk,PH,2022-02-13 04:45:12,17.4189,121.4443,77.38,79,85,8.43
73,Buraydah,SA,2022-02-13 04:45:13,26.326,43.975,41.45,45,0,7.49
74,Atuona,PF,2022-02-13 04:43:04,-9.8,-139.0333,78.1,77,18,13.33
75,Bud,US,2022-02-13 04:45:13,39.447,-86.1758,20.46,81,36,6.44
76,Shangzhi,CN,2022-02-13 04:45:14,45.2167,127.9667,9.97,75,43,2.1
77,La Ronge,CA,2022-02-13 04:45:14,55.1001,-105.2842,-9.15,84,100,2.3
78,Okhotsk,RU,2022-02-13 04:45:15,59.3833,143.3,0.81,79,2,10.33
79,Odienne,CI,2022-02-13 04:45:15,9.51,-7.5692,66.76,18,4,3.38
80,Kruisfontein,ZA,2022-02-13 04:45:16,-34.0033,24.7314,69.48,88,100,9.71
81,East London,ZA,2022-02-13 04:45:16,-33.0153,27.9116,72.54,100,40,9.22
82,Bubaque,GW,2022-02-13 04:45:17,11.2833,-15.8333,77.85,54,0,15.03
83,Rusape,ZW,2022-02-13 04:45:17,-18.5278,32.1284,60.31,80,53,1.61
84,Enkhuizen,NL,2022-02-13 04:40:21,52.7,5.2833,38.01,85,98,13.0
85,Katsuura,JP,2022-02-13 04:45:18,35.1333,140.3,44.62,92,100,8.39
86,Pryluky,UA,2022-02-13 04:45:18,50.5932,32.3876,21.81,90,15,6.33
87,Mandalgovi,MN,2022-02-13 04:45:19,45.7625,106.2708,-1.28,64,9,5.64
88,Hilo,US,2022-02-13 04:41:09,19.7297,-155.09,74.93,69,100,6.91
89,Torbay,CA,2022-02-13 04:45:19,47.6666,-52.7314,45.37,93,100,24.16
90,Port Alfred,ZA,2022-02-13 04:45:20,-33.5906,26.891,76.57,93,99,11.86
91,Joshimath,IN,2022-02-13 04:45:20,30.5667,79.5667,54.03,26,0,3.67
92,Tasiilaq,GL,2022-02-13 04:45:21,65.6145,-37.6368,6.96,66,100,5.01
93,Ballina,AU,2022-02-13 04:45:17,-28.8667,153.5667,78.98,61,40,16.11
94,Pandan,PH,2022-02-13 04:45:21,14.0453,124.1694,81.72,73,75,15.88
95,Ilheus,BR,2022-02-13 04:45:22,-14.7889,-39.0494,73.45,91,67,1.7
96,Ust-Ishim,RU,2022-02-13 04:45:22,57.6935,71.1665,3.87,92,100,4.23
97,Kutum,SD,2022-02-13 04:45:23,14.2,24.6667,54.73,21,23,6.82
98,Coquimbo,CL,2022-02-13 04:43:16,-29.9533,-71.3436,62.33,88,0,2.3
99,Anahuac,MX,2022-02-13 04:45:24,27.2333,-100.15,48.45,51,4,5.28
100,Balad,IQ,2022-02-13 04:45:24,34.0164,44.1453,51.3,50,0,10.33
101,Berlevag,NO,2022-02-13 04:45:24,70.8578,29.0864,22.57,77,26,16.02
102,Lebu,CL,2022-02-13 04:45:25,-37.6167,-73.65,57.51,91,99,3.47
103,Alyangula,AU,2022-02-13 04:45:25,-13.8483,136.4192,87.67,74,75,17.27
104,Georgetown,MY,2022-02-13 04:43:16,5.4112,100.3354,89.53,66,20,6.91
105,College,US,2022-02-13 04:45:26,64.8569,-147.8028,3.9,75,100,0.0
106,Arica,CL,2022-02-13 04:45:27,-18.475,-70.3042,66.43,68,0,0.0
107,Tucuru,GT,2022-02-13 04:45:27,15.3,-90.0667,70.38,97,67,1.86
108,Malakal,SS,2022-02-13 04:45:28,9.5334,31.6605,74.95,21,46,8.21
109,Surt,LY,2022-02-13 04:45:28,31.2089,16.5887,54.9,60,1,7.65
110,Presidencia Roque Saenz Pena,AR,2022-02-13 04:45:28,-26.7852,-60.4388,62.19,76,91,5.39
111,Sampit,ID,2022-02-13 04:45:29,-2.5333,112.95,85.1,65,97,0.81
112,Iqaluit,CA,2022-02-13 04:45:29,63.7506,-68.5145,-20.47,76,100,8.05
113,Asau,RO,2022-02-13 04:41:57,46.4333,26.4,23.76,83,27,3.42
114,Talaya,RU,2022-02-13 04:45:30,61.3833,152.75,-23.26,95,42,0.85
115,Leningradskiy,RU,2022-02-13 04:45:30,69.3833,178.4167,-14.8,95,96,4.43
116,Krasnoselkup,RU,2022-02-13 04:45:31,65.7,82.4667,-3.78,84,5,13.47
117,Norman Wells,CA,2022-02-13 04:45:31,65.282,-126.8329,-16.56,69,75,8.05
118,Hithadhoo,MV,2022-02-13 04:45:32,-0.6,73.0833,81.57,71,67,10.58
119,Haines Junction,CA,2022-02-13 04:45:32,60.7522,-137.5108,30.15,64,23,6.91
120,Ewa Beach,US,2022-02-13 04:45:33,21.3156,-158.0072,76.98,60,20,11.5
121,Bredasdorp,ZA,2022-02-13 04:45:33,-34.5322,20.0403,65.52,82,73,1.14
122,Champua,IN,2022-02-13 04:45:34,22.0833,85.6667,69.91,28,1,4.07
123,Clyde River,CA,2022-02-13 04:41:09,70.4692,-68.5914,-14.57,76,100,26.46
124,Cobija,BO,2022-02-13 04:45:34,-11.0267,-68.7692,71.67,100,97,0.74
